Complaint_ID,Date_Reported,Customer_ID,Region,Complaint_Type,Service_Type,Description,Priority,Status,Resolution_Date,Resolution_Time_Days,Customer_Satisfaction
COMP-00001,2025-03-22,CUST-6847,North,Poor Voice Quality,Mobile,Customer reported sms failure issue,High,Closed,2025-03-31,9.0,4.0
COMP-00002,2025-03-15,CUST-3396,South,No Signal,Broadband,Customer reported call drop issue,Low,Resolved,,,
COMP-00003,2025-03-16,CUST-2803,West,Poor Voice Quality,Broadband,Customer reported service outage issue,Medium,Closed,2025-03-27,11.0,1.0
COMP-00004,2025-03-08,CUST-8287,Central,Poor Voice Quality,TV,Customer reported poor voice quality issue,High,Closed,2025-03-13,5.0,3.0
COMP-00005,2025-01-09,CUST-4012,South,No Signal,Fixed Line,Customer reported slow internet issue,Medium,Closed,2025-01-14,5.0,3.0
COMP-00006,2025-02-16,CUST-7092,West,Service Outage,Fixed Line,Customer reported sms failure issue,Critical,Closed,2025-02-25,9.0,4.0
COMP-00007,2025-02-22,CUST-1402,Central,No Signal,Mobile,Customer reported slow internet issue,High,Closed,2025-03-02,8.0,4.0
COMP-00008,2025-02-28,CUST-6150,Central,No Signal,TV,Customer reported slow internet issue,Low,In Progress,,,
COMP-00009,2025-03-17,CUST-6786,West,SMS Failure,TV,Customer reported service outage issue,Medium,Resolved,,,
COMP-00010,2025-02-27,CUST-2999,Central,Call Drop,TV,Customer reported poor voice quality issue,Medium,Closed,2025-02-28,1.0,5.0
COMP-00011,2025-03-04,CUST-7492,North,Call Drop,Broadband,Customer reported slow internet issue,Critical,Closed,2025-03-12,8.0,1.0
COMP-00012,2025-03-07,CUST-1832,North,Poor Voice Quality,Fixed Line,Customer reported sms failure issue,High,Closed,2025-03-07,0.0,3.0
COMP-00013,2025-02-12,CUST-9543,North,Billing Issue,Fixed Line,Customer reported slow internet issue,High,Closed,2025-02-19,7.0,1.0
COMP-00014,2025-02-03,CUST-9357,North,No Signal,Fixed Line,Customer reported service outage issue,Low,Closed,2025-02-07,4.0,5.0
COMP-00015,2025-02-23,CUST-5026,West,Billing Issue,Fixed Line,Customer reported service outage issue,Critical,Closed,2025-03-02,7.0,1.0
COMP-00016,2025-01-03,CUST-8799,South,Poor Voice Quality,TV,Customer reported call drop issue,High,Closed,,,2.0
COMP-00017,2025-03-05,CUST-1779,South,Slow Internet,Broadband,Customer reported billing issue issue,Low,Closed,,,3.0
COMP-00018,2025-02-17,CUST-4983,Central,Call Drop,Broadband,Customer reported slow internet issue,Critical,Closed,2025-02-27,10.0,3.0
COMP-00019,2025-01-05,CUST-8847,West,Call Drop,TV,Customer reported billing issue issue,Critical,Open,,,
COMP-00020,2025-01-19,CUST-5162,South,No Signal,Fixed Line,Customer reported sms failure issue,Critical,Closed,2025-01-22,3.0,4.0
COMP-00021,2025-01-09,CUST-6867,South,Slow Internet,TV,Customer reported poor voice quality issue,Critical,Closed,,,2.0
COMP-00022,2025-01-30,CUST-7549,North,Service Outage,Mobile,Customer reported sms failure issue,Medium,Closed,,,3.0
COMP-00023,2025-01-05,CUST-4769,Central,SMS Failure,Fixed Line,Customer reported sms failure issue,Low,Closed,2025-01-05,0.0,2.0
COMP-00024,2025-01-06,CUST-9135,East,Poor Voice Quality,Mobile,Customer reported billing issue issue,Medium,Closed,2025-01-13,7.0,2.0
COMP-00025,2025-02-16,CUST-1805,Central,Service Outage,Broadband,Customer reported billing issue issue,Medium,Closed,2025-02-23,7.0,5.0
COMP-00026,2025-02-03,CUST-9727,North,No Signal,TV,Customer reported poor voice quality issue,Critical,Closed,2025-02-05,2.0,3.0
COMP-00027,2025-02-04,CUST-5789,East,Call Drop,Broadband,Customer reported slow internet issue,Medium,Resolved,,,
COMP-00028,2025-01-15,CUST-7890,West,Billing Issue,Fixed Line,Customer reported sms failure issue,Medium,Closed,2025-01-25,10.0,4.0
COMP-00029,2025-01-07,CUST-8290,South,Call Drop,Broadband,Customer reported service outage issue,High,Closed,2025-01-07,0.0,5.0
COMP-00030,2025-03-12,CUST-9647,West,Call Drop,Broadband,Customer reported service outage issue,Critical,Closed,2025-03-18,6.0,5.0
COMP-00031,2025-01-08,CUST-8303,South,Poor Voice Quality,Mobile,Customer reported poor voice quality issue,Low,Closed,2025-01-10,2.0,3.0
COMP-00032,2025-02-04,CUST-5749,Central,Call Drop,Mobile,Customer reported poor voice quality issue,Medium,Closed,2025-02-06,2.0,1.0
COMP-00033,2025-02-11,CUST-7553,North,Slow Internet,Fixed Line,Customer reported no signal issue,Critical,Closed,2025-02-25,14.0,4.0
COMP-00034,2025-03-13,CUST-4830,South,Poor Voice Quality,Broadband,Customer reported poor voice quality issue,Low,Closed,2025-03-21,8.0,5.0
COMP-00035,2025-03-19,CUST-1640,East,Service Outage,Broadband,Customer reported sms failure issue,High,Closed,2025-03-29,10.0,3.0
COMP-00036,2025-03-25,CUST-2174,East,Poor Voice Quality,TV,Customer reported poor voice quality issue,Critical,Closed,2025-04-06,12.0,3.0
